Submission,Specific Implementation,Category,KeyPair Median x10^3,Keypair Average x10^3,Sign Median x10^3,Sign Average x10^3,Open Median,Open Average,sk,pk,bytes,NIST Category Claim,Trials
Sphincs+,sphincs-sha256-192f,Hash,"13,816.548","14,164.328","392,744.928","428,532.201","20,734,021","22,351,224",96,48,"35,664",3,20
Sphincs+,sphincs-sha256-192s,Hash,"475,311.338","486,311.840","10,063,319.275","10,059,243.546","8,878,497","9,120,291",96,48,"17,064",3,20
Sphincs+,sphincs-sha256-256f,Hash,"56,223.745","58,751.156","1,393,641.164","1,389,343.733","31,570,383","34,900,606",128,64,"49,216",5,20
Sphincs+,sphincs-sha256-256s,Hash,"931,681.885","941,434.325","10,878,483.735","10,939,016.663","15,662,971","18,076,987",128,64,"29,792",5,20
Sphincs+,sphincs-shake256-128f,Hash,"15,317.083","17,198.282","492,096.807","519,930.427","22,618,271","25,122,811",64,32,"16,976",1,20
Sphincs+,sphincs-shake256-128s,Hash,"505,434.390","513,876.996","6,977,287.973","7,023,176.199","9,466,834","9,742,297",64,32,"8,080",1,20
Sphincs+,sphincs-shake256-192f,Hash,"20,775.911","24,905.011","604,780.961","633,229.991","30,560,931","32,551,936",96,48,"35,664",3,20
Sphincs+,sphincs-shake256-192s,Hash,"734,823.375","859,668.194","14,155,006.703","16,211,977.835","12,295,979","12,816,041",96,48,"17,064",3,20
Sphincs+,sphincs-shake256-256f,Hash,"62,744.553","63,680.200","1,450,205.958","1,451,433.533","33,607,612","34,389,263",128,64,"49,216",5,20
Sphincs+,sphincs-shake256-256s,Hash,"976,036.703","995,109.738","11,117,644.467","11,188,061.877","16,002,567","16,306,916",128,64,"29,792",5,20
WalnutDSA,walnut128-bkl,Braids,"1,782.814","2,086.564","126,822.981","137,691.863","92,699","96,962",136,83,"1,100",1,100
WalnutDSA,walnut256-bkl,Braids,"4,149.445","4,456.087","454,977.624","472,468.875","179,665","197,243",291,128,"1,800",5,100
WalnutDSA,walnut128-stochasticrewrite,Braids,"1,905.902","2,271.199","45,760.337","51,244.842","95,682","101,529",136,83,"1,200",1,100
WalnutDSA,walnut256-stochasticrewrite,Braids,"4,164.257","4,519.863","127,413.278","134,509.781","181,122","194,916",291,128,"2,100",5,100
WalnutDSA,walnut128-stochasticrewritenodehornoy,Braids,"1,935.044","2,574.824","43,111.043","48,246.052","133,359","147,948",136,83,"2,000",1,100
WalnutDSA,walnut256-stochasticrewritenodehornoy,Braids,"4,532.941","4,836.298","125,289.337","130,993.063","287,763","311,116",291,128,"3,400",5,100
WalnutDSA,walnut128-ref,Braids,"1,135.380","1,225.046","2,039,841.350","2,071,390.234","166,520","175,770",136,83,"1,100",1,100
WalnutDSA,walnut256-ref,Braids,"1,162.870","1,255.020","2,026,491.143","2,084,771.866","168,897","193,637",291,128,"1,800",5,100
