"Submission","Specific Implementation","Problem Category","KeyPair Median","Keypair Average x10^6","Encrypt Median","Encrypt Average x10^6","Open Median","Open Average","sk","pk","bytes","NIST Category Claim","Errors?","Trials"
"Round2","nround2_pke_nd_l1/","Lattices","6,688,356.000","7.283","13,372,971.000","14.963","19,853,653.000","22,748,278.000","642","515","622","1","Times","300"
"Round2","nround2_pke_nd_l2/","Lattices","10,255,616.000","11.055","20,792,307.000","21.642","31,051,542.000","32,874,160.000","830","659","846","2","Times","300"
"Round2","nround2_pke_nd_l3/","Lattices","10,956,081.000","11.358","22,040,862.000","22.749","33,479,360.000","34,098,987.000","841","673","820","3","Times","300"
"Round2","nround2_pke_nd_l4/","Lattices","16,391,504.000","16.920","33,060,077.000","33.854","49,631,812.000","50,897,398.000","1,071","846","1,113","4","Times","300"
"Round2","nround2_pke_nd_l5/","Lattices","16,540,351.000","16.996","33,419,825.000","34.161","50,563,762.000","50,978,009.000","1,039","830","1,017","5","Times","300"
"Round2","uround2_pke_n1_fn0_l1/","Lattices","21,530,358.000","22.185","21,780,106.000","22.342","21,825,909.000","22,469,662.000","4,096","3,455","4,881","1","Times","300"
"Round2","uround2_pke_n1_fn0_l2/","Lattices","31,120,875.000","31.591","31,200,279.000","32.218","31,577,004.000","32,489,442.000","7,670","6,468","6,567","2","Times","300"
"Round2","uround2_pke_n1_fn0_l3/","Lattices","36,198,865.000","36.592","37,106,600.000","38.101","37,473,234.000","37,903,218.000","6,319","5,330","7,185","3","Times","300"
"Round2","uround2_pke_n1_fn0_l4/","Lattices","65,383,714.000","66.054","65,531,148.000","66.541","65,654,646.000","66,691,391.000","14,710","12,574","12,673","4","Times","300"
"Round2","uround2_pke_n1_fn0_l5/","Lattices","62,105,764.000","63.492","63,307,606.000","64.061","63,437,148.000","64,398,093.000","11,755","10,053","10,128","5","Times","300"
"Round2","uround2_pke_n1_fn1_l1/","Lattices","1,702,350.000","1.810","2,761,576.000","2.975","2,824,032.000","3,035,916.000","4,096","3,455","4,881","1","Times","300"
"Round2","uround2_pke_n1_fn1_l2/","Lattices","3,640,325.000","3.935","4,643,453.000","5.220","4,700,085.000","5,086,613.000","7,670","6,468","6,567","2","Times","300"
"Round2","uround2_pke_n1_fn1_l3/","Lattices","3,212,840.000","3.361","5,060,824.000","5.520","5,215,074.000","5,624,345.000","6,319","5,330","7,185","3","Times","300"
"Round2","uround2_pke_n1_fn1_l4/","Lattices","8,287,295.000","8.540","10,742,317.000","11.410","10,899,494.000","11,405,764.000","14,710","12,574","12,673","4","Times","300"
"Round2","uround2_pke_n1_fn1_l5/","Lattices","6,619,453.000","6.976","8,543,140.000","9.125","8,600,691.000","9,379,713.000","11,755","10,053","10,128","5","Times","300"
"Round2","uround2_pke_n1_fn2_l1/","Lattices","4,007,802.000","4.243","4,859,403.000","5.092","4,887,168.000","5,135,950.000","4,096","3,455","4,881","1","Times","300"
"Round2","uround2_pke_n1_fn2_l2/","Lattices","5,842,553.000","6.108","6,439,659.000","6.677","6,574,502.000","6,860,339.000","7,670","6,468","6,567","2","Times","300"
"Round2","uround2_pke_n1_fn2_l3/","Lattices","5,275,556.000","5.466","6,885,627.000","7.150","6,900,427.000","7,122,527.000","6,319","5,330","7,185","3","Times","300"
"Round2","uround2_pke_n1_fn2_l4/","Lattices","9,958,021.000","11.590","11,523,692.000","14.281","11,753,142.000","13,707,542.000","14,710","12,574","12,673","4","Times","300"
"Round2","uround2_pke_n1_fn2_l5/","Lattices","8,418,966.000","10.951","9,634,369.000","12.389","9,839,974.000","12,165,113.000","11,755","10,053","10,128","5","Times","300"
"Round2","uround2_pke_nd_l1/","Lattices","249,150.000","0.272","348,820.000","0.374","410,121.000","431,417.000","558","437","560","1","Times","300"
"Round2","uround2_pke_nd_l2/","Lattices","392,646.000","0.614","574,871.000","0.679","715,355.000","847,120.000","808","641","764","2","Times","300"
"Round2","uround2_pke_nd_l3/","Lattices","425,396.000","0.696","577,484.000","0.665","677,283.000","755,862.000","856","685","784","3","Times","300"
"Round2","uround2_pke_nd_l4/","Lattices","625,574.000","0.667","939,502.000","1.180","1,166,069.000","1,368,045.000","1,071","846","1,017","4","Times","300"
"Round2","uround2_pke_nd_l5/","Lattices","630,192.000","0.810","843,175.000","0.905","1,004,360.000","1,134,610.000","1,039","830","953","5","Times","300"
"Titanium","Titanium_CPA_hi","Lattices","2,068,515.000","2.246","1,955,943.000","2.092","351,327.000","380,872.000","32","17,952","6,016","3","Times","300"
"Titanium","Titanium_CPA_med","Lattices","2,093,899.000","2.311","1,900,558.000","2.135","280,685.000","317,359.000","32","16,448","4,512","2","Times","300"
"Titanium","Titanium_CPA_std","Lattices","1,847,761.000","1.998","1,450,542.000","1.515","237,887.000","279,763.000","32","14,720","3,520","1","Times","300"
"Titanium","Titanium_CPA_super","Lattices","2,871,003.000","3.057","2,799,272.000","2.974","495,053.000","561,192.000","32","23,552","8,320","5","Times","300"
